Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;united states;18-7-2025
alert;ochratoxin a, rye ergot (claviceps purpurea);mycotoxin > ochratoxin > ochratoxin a, pathogen > biotoxins (other) > rye ergot (claviceps purpurea);france;17-7-2025
alert;pesticides;pesticides;pakistan;17-7-2025
border rejection;acetamiprid;pesticides > neonicotinoid > acetamiprid;pakistan;17-7-2025
border rejection;thiamethoxam, imidacloprid;pesticides > neonicotinoid > thiamethoxam, pesticides > neonicotinoid > imidacloprid;pakistan;15-7-2025
border rejection;deterioration, bad smell / off odor, moulds, appearance;deterioration, bad smell / off odor, non-pathogenic microorganisms > moulds, appearance;thailand;15-7-2025
border rejection;high content of cyanide;composition > high content of cyanide;ghana;15-7-2025
border rejection;deterioration, solidification, bad smell / off odor, moulds, appearance;deterioration, solidification, bad smell / off odor, non-pathogenic microorganisms > moulds, appearance;thailand;15-7-2025
border rejection;solidification, deterioration, moulds, bad smell / off odor;solidification, deterioration, non-pathogenic microorganisms > moulds, bad smell / off odor;thailand;15-7-2025
border rejection;solidification, deterioration, moulds, bad smell / off odor;solidification, deterioration, non-pathogenic microorganisms > moulds, bad smell / off odor;thailand;15-7-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;india;14-7-2025
alert;acetamiprid, thiamethoxam;pesticides > neonicotinoid > acetamiprid, pesticides > neonicotinoid > thiamethoxam;pakistan, italy;11-7-2025
border rejection;insects;insects;pakistan;11-7-2025
border rejection;zearalenone;mycotoxin > zearalenone;china;10-7-2025
border rejection;thiamethoxam;pesticides > neonicotinoid > thiamethoxam;india;10-7-2025
border rejection;too high content of e 220 - sulfur dioxide;too high content of e 220 - sulfur dioxide;china;10-7-2025
alert;perfluorooctanoic acid (pfoa);pfas > perfluorooctanoic acid (pfoa);hungary;9-7-2025
alert;perfluorooctanoic acid (pfoa);pfas > perfluorooctanoic acid (pfoa);hungary;9-7-2025
alert;perfluorooctanoic acid (pfoa);pfas > perfluorooctanoic acid (pfoa);hungary;9-7-2025
alert;perfluorooctanoic acid (pfoa);pfas > perfluorooctanoic acid (pfoa);hungary;9-7-2025
border rejection;solidification, deterioration, moulds, bad smell / off odor;solidification, deterioration, non-pathogenic microorganisms > moulds, bad smell / off odor;thailand;8-7-2025
alert;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;germany;7-7-2025
alert;plastic fragment;plastic fragment;sri lanka;7-7-2025
border rejection;aflatoxin b1, aflatoxin;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin;pakistan;3-7-2025
border rejection;aflatoxin b1, aflatoxin b2;mycotoxin > aflatoxin > aflatoxin b1, mycotoxin > aflatoxin > aflatoxin b2;china;1-7-2025
border rejection;solidification, moulds, bad smell / off odor, appearance;solidification, non-pathogenic microorganisms > moulds, bad smell / off odor, appearance;thailand;1-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;germany;27-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;27-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;27-6-2025
alert;alkaloids;alkaloids;france;27-6-2025
border rejection;gmo;gmo;china;26-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;26-6-2025
border rejection;unauthorised novel food;novel food > unauthorised novel food;sri lanka;24-6-2025
border rejection;aflatoxin b1;mycotoxin > aflatoxin > aflatoxin b1;pakistan;24-6-2025
border rejection;e 339 - sodium phosphates unauthorised;e 339 - sodium phosphates unauthorised;indonesia;23-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;23-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;23-6-2025
border rejection;pesticides;pesticides;india;23-6-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;pakistan;23-6-2025
border rejection;improper conditions;poor or insufficient controls > improper conditions;jordan;23-6-2025
alert;mineral oil aromatic hydrocarbons (moah);industrial contaminants > mineral oil > mineral oil aromatic hydrocarbons (moah);pakistan;23-6-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;india;20-6-2025
alert;alkaloids;alkaloids;france;19-6-2025
border rejection;unauthorised genetically modified;gmo > unauthorised genetically modified;china;19-6-2025
border rejection;solidification, bad smell / off odor, moulds, appearance;solidification, bad smell / off odor, non-pathogenic microorganisms > moulds, appearance;australia;19-6-2025
alert;tropane alkaloids;biocontaminants > tropane alkaloids;denmark;18-6-2025
border rejection;pesticides;pesticides;pakistan;18-6-2025
border rejection;pesticides;pesticides;india;17-6-2025
border rejection;unauthorised tricyclazole, chlorpyrifos;chemical compound (unauthorised) > unauthorised tricyclazole, pesticides > organophosphate > chlorpyrifos;india;17-6-2025
border rejection;pesticides;pesticides;india;17-6-2025
border rejection;chlorpyrifos, ddt;pesticides > organophosphate > chlorpyrifos, chemical compound (unauthorised) > ddt;nepal;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;india;16-6-2025
border rejection;unauthorised colour, artificial colourants/synthetic dyes;unauthorised colour, adulteration (ema) > addition > enhancers/neutralizers > artificial colourants/synthetic dyes;mexico;16-6-2025
