Incident Type;Hazards;Hazard Paths;Origins;Date
alert;plastic fragment;plastic fragment;united states;17-7-2025
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;united kingdom;17-7-2025
alert;milk and products thereof;milk and products thereof;belgium;16-7-2025
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;thailand;15-7-2025
border rejection;microbiological contamination;non-pathogenic microorganisms > microbiological contamination;argentina;11-7-2025
alert;inadequate thermal processing;processing > inadequate thermal processing;japan;11-7-2025
alert;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;france;10-7-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;10-7-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;10-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;10-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;9-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;9-7-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;8-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;4-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;3-7-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;3-7-2025
alert;inadequate thermal processing;processing > inadequate thermal processing;france;3-7-2025
alert;inadequate thermal processing;processing > inadequate thermal processing;belgium;30-6-2025
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;ukraine;30-6-2025
alert;lack of sterilization;processing > lack of sterilization;france;30-6-2025
alert;plastic fragment;plastic fragment;united kingdom;28-6-2025
border rejection;chlorate;pesticides > inorganic compound > chlorate;brazil;26-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;netherlands;26-6-2025
alert;glass fragment;glass fragment;france;25-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;25-6-2025
alert;salmonella newport;pathogen > pathogenic bacteria > salmonella > salmonella newport;poland;24-6-2025
alert;foreign bodies;;france;23-6-2025
alert;foreign bodies;;france;23-6-2025
alert;metal particles;metal fragment > metal particles;belgium;23-6-2025
alert;foreign bodies;;france;23-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;23-6-2025
border rejection;chlorate;pesticides > inorganic compound > chlorate;brazil;23-6-2025
alert;foreign bodies;;france;23-6-2025
alert;inadequate thermal processing;processing > inadequate thermal processing;germany;20-6-2025
alert;salmonella senftenberg;pathogen > pathogenic bacteria > salmonella > salmonella senftenberg;czech republic;18-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;17-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;17-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;17-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;17-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;12-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;belgium;12-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;11-6-2025
alert;salmonella newport, salmonella typhimurium monophasic;pathogen > pathogenic bacteria > salmonella > salmonella newport, pathogen > pathogenic bacteria > salmonella > salmonella typhimurium monophasic;poland;11-6-2025
alert;salmonella newport;pathogen > pathogenic bacteria > salmonella > salmonella newport;poland;11-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;10-6-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;brazil;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;7-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;6-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;6-6-2025
alert;bone fragment;bone fragment;canada;5-6-2025
alert;salmonella enteritidis;pathogen > pathogenic bacteria > salmonella > salmonella enteritidis;hungary;4-6-2025
border rejection;poor temperature control - rupture of the cold chain;poor or insufficient controls > improper conditions > poor temperature control - rupture of the cold chain;ukraine;4-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;brazil;4-6-2025
alert;salmonella senftenberg, salmonella newport;pathogen > pathogenic bacteria > salmonella > salmonella senftenberg, pathogen > pathogenic bacteria > salmonella > salmonella newport;poland;3-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;2-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;28-5-2025
alert;salmonella enteritidis;pathogen > pathogenic bacteria > salmonella > salmonella enteritidis;poland;28-5-2025
alert;salmonella enteritidis;pathogen > pathogenic bacteria > salmonella > salmonella enteritidis;netherlands;27-5-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;27-5-2025
alert;salmonella infantis;pathogen > pathogenic bacteria > salmonella > salmonella infantis;ukraine;26-5-2025
alert;salmonella newport;pathogen > pathogenic bacteria > salmonella > salmonella newport;poland;23-5-2025
alert;salmonella enteritidis;pathogen > pathogenic bacteria > salmonella > salmonella enteritidis;poland;22-5-2025
alert;glass fragment;glass fragment;france;16-5-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;poland;16-5-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;15-5-2025
