Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;insufficient labelling/documentation;labelling/misdescription > insufficient labelling/documentation;india;1-7-2025
alert;starch, foreign bodies;adulteration (ema) > addition > enhancers/neutralizers > polysaccharides > starch;brazil;23-6-2025
alert;lead;heavy metals > lead;vietnam;2-6-2025
alert;high content of lead;heavy metals > high content of lead;vietnam;20-5-2025
alert;mineral oil;industrial contaminants > mineral oil;portugal;2-5-2025
border rejection;metal particles;metal fragment > metal particles;vietnam;30-4-2025
alert;mineral oil aromatic hydrocarbons (moah);industrial contaminants > mineral oil > mineral oil aromatic hydrocarbons (moah);germany;22-4-2025
border rejection;cadmium, arsenic, lead;heavy metals > cadmium, heavy metals > arsenic, heavy metals > lead;vietnam;14-4-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;sri lanka;27-3-2025
border rejection;sulphur dioxide;adulteration (ema) > addition > enhancers/neutralizers > sulphur dioxide;bangladesh;24-3-2025
alert;impurities;impurities;brazil;24-3-2025
border rejection;metal particles;metal fragment > metal particles;sri lanka;14-2-2025
border rejection;incorrect labeling;labelling/misdescription > incorrect labeling;canada;6-1-2025
border rejection;lead;heavy metals > lead;india;9-12-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;madagascar;10-10-2024
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;vietnam;10-10-2024
border rejection;lead;heavy metals > lead;india;30-9-2024
border rejection;lead;heavy metals > lead;india;30-9-2024
border rejection;lead;heavy metals > lead;india;30-9-2024
alert;high content of lead;heavy metals > high content of lead;vietnam;27-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;18-9-2024
alert;mustard and products thereof;mustard and products thereof;united kingdom;13-9-2024
alert;mustard and products thereof;mustard and products thereof;united kingdom;13-9-2024
alert;lead;heavy metals > lead;united states;9-9-2024
alert;high content of lead;heavy metals > high content of lead;united states;3-9-2024
alert;lead;heavy metals > lead;united states;30-8-2024
alert;lead;heavy metals > lead;vietnam;29-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;27-8-2024
alert;lead;heavy metals > lead;united states;27-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;23-8-2024
alert;lead;heavy metals > lead;united states;23-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;21-8-2024
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;madagascar;21-8-2024
alert;lead;heavy metals > lead;united states;19-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;13-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;13-8-2024
alert;lead;heavy metals > lead;united states;13-8-2024
alert;high content of lead;heavy metals > high content of lead;united states;29-7-2024
alert;high content of lead;heavy metals > high content of lead;united states;29-7-2024
alert;high content of lead;heavy metals > high content of lead;united states;29-7-2024
alert;high content of lead;heavy metals > high content of lead;indonesia;26-7-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;sri lanka;15-7-2024
border rejection;mercury, lead, chromium, cadmium, arsenic;heavy metals > mercury, heavy metals > lead, heavy metals > chromium, heavy metals > cadmium, heavy metals > arsenic;india;17-6-2024
border rejection;lead;heavy metals > lead;india;17-6-2024
border rejection;clostridium perfringens;pathogen > pathogenic bacteria > clostridium > clostridium perfringens;vietnam;5-6-2024
border rejection;unauthorised ingredient;composition > unauthorised ingredient;sri lanka;24-5-2024
border rejection;lead;heavy metals > lead;vietnam;2-5-2024
alert;foreign bodies;;brazil;24-4-2024
border rejection;other not classified fraud hazards, improper import declaration;other not classified fraud hazards, smuggling > improper import declaration;lebanon;22-4-2024
alert;chlorpyrifos-methyl;pesticides > chlorpyrifos-methyl;vietnam;22-4-2024
alert;lead;heavy metals > lead;united states;15-4-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;sri lanka;12-4-2024
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;sri lanka;12-4-2024
border rejection;clostridium perfringens;pathogen > pathogenic bacteria > clostridium > clostridium perfringens;vietnam;27-3-2024
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;sri lanka;25-3-2024
alert;high content of lead;heavy metals > high content of lead;united states;21-3-2024
alert;high content of lead;heavy metals > high content of lead;united states;21-3-2024
border rejection;other not classified fraud hazards, improper import declaration;other not classified fraud hazards, smuggling > improper import declaration;india;20-3-2024
border rejection;other not classified fraud hazards, improper import declaration;other not classified fraud hazards, smuggling > improper import declaration;india;20-3-2024
alert;impurities;impurities;brazil;8-3-2024
alert;lead;heavy metals > lead;united states;8-3-2024
alert;lead;heavy metals > lead;united states;7-3-2024
alert;lead;heavy metals > lead;united states;7-3-2024
alert;lead;heavy metals > lead;united states;6-3-2024
alert;high content of lead;heavy metals > high content of lead;united states;6-3-2024
alert;lead, mercury;heavy metals > lead, heavy metals > mercury;vietnam;2-2-2024
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;sri lanka;19-1-2024
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;sri lanka;20-12-2023
alert;mercury;heavy metals > mercury;vietnam;13-12-2023
alert;mercury, mineral oil;heavy metals > mercury, industrial contaminants > mineral oil;netherlands;8-12-2023
alert;mercury, polycyclic aromatic hydrocarbons;heavy metals > mercury, industrial contaminants > polycyclic aromatic hydrocarbons;netherlands;29-11-2023
border rejection;metal particles;metal fragment > metal particles;vietnam;9-11-2023
border rejection;unauthorised substance ethylene oxide;pesticides > unauthorised substance ethylene oxide;india;23-10-2023
border rejection;poisonous;pathogen > biotoxins (other) > poisonous;india;25-8-2023
border rejection;metal particles;metal fragment > metal particles;indonesia;11-8-2023
border rejection;metal particles;metal fragment > metal particles;vietnam;4-7-2023
alert;polycyclic aromatic hydrocarbons, benzo(a)pyrene;industrial contaminants > polycyclic aromatic hydrocarbons, pahs > benzo(a)pyrene;germany;5-6-2023
alert;high content of lead;heavy metals > high content of lead;united states;9-5-2023
alert;chlorpyrifos, imidacloprid;pesticides > organophosphate > chlorpyrifos, pesticides > neonicotinoid > imidacloprid;madagascar;18-4-2023
alert;clostridium perfringens;pathogen > pathogenic bacteria > clostridium > clostridium perfringens;vietnam;11-4-2023
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;sri lanka;6-4-2023
border rejection;iron;heavy metals > iron;vietnam;6-4-2023
border rejection;unauthorised substance ethylene oxide;pesticides > unauthorised substance ethylene oxide;india;2-2-2023
alert;abnormal smell, taste disturbance, adulteration (ema);abnormal smell, taste disturbance, adulteration (ema);czech republic;16-1-2023
alert;adulteration (ema), abnormal smell, taste disturbance;adulteration (ema), abnormal smell, taste disturbance;czech republic;16-1-2023
alert;sulphur dioxide;adulteration (ema) > addition > enhancers/neutralizers > sulphur dioxide;italy;22-11-2022
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;italy;21-11-2022
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;italy;21-11-2022
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;italy;14-11-2022
alert;sulphur dioxide;adulteration (ema) > addition > enhancers/neutralizers > sulphur dioxide;italy;10-11-2022
alert;sulphur dioxide and sulphites;sulphur dioxide and sulphites;italy;4-11-2022
border rejection;lead;heavy metals > lead;vietnam;13-10-2022
border rejection;lead;heavy metals > lead;canada;13-10-2022
alert;mislabelled;labelling/misdescription > mislabelled;united states;23-8-2022
alert;plastic fragment;plastic fragment;united states;19-8-2022
alert;insoluble impurities;impurities > insoluble impurities;czech republic;26-7-2022
border rejection;benzoic acid;chemical compound (high content) > benzoic acid;china;17-6-2022
border rejection;chemical;;india;14-4-2022
border rejection;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);india;24-3-2022
border rejection;unauthorised substance ethylene oxide, unauthorised ingredient (fraud);pesticides > unauthorised substance ethylene oxide, unauthorised ingredient (fraud);india;24-3-2022
border rejection;carboxin;pesticides > carboxin;madagascar;18-3-2022
alert;2-chloroethanol and ethylene oxide;pesticides > organochlorine > 2-chloroethanol and ethylene oxide;germany;17-3-2022
border rejection;moulds, spoilage, infested with insects;non-pathogenic microorganisms > moulds, spoilage, insects > infested with insects;vietnam;3-3-2022
alert;2-chloroethanol and ethylene oxide;pesticides > organochlorine > 2-chloroethanol and ethylene oxide;germany;17-2-2022
alert;2-chloroethanol and ethylene oxide;pesticides > organochlorine > 2-chloroethanol and ethylene oxide;germany;17-2-2022
alert;2-chloroethanol and ethylene oxide;pesticides > organochlorine > 2-chloroethanol and ethylene oxide;germany;16-2-2022
alert;2-chloroethanol and ethylene oxide;pesticides > organochlorine > 2-chloroethanol and ethylene oxide;germany;1-2-2022
border rejection;metal particles;metal fragment > metal particles;italy;18-1-2022
