Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
alert;salmonella;pathogen > pathogenic bacteria > salmonella;germany;18-7-2025
alert;polycyclic aromatic hydrocarbons, benzo(a)pyrene;industrial contaminants > polycyclic aromatic hydrocarbons, pahs > benzo(a)pyrene;germany, unknown origin;18-7-2025
alert;aflatoxin, peanuts and products thereof, hazelnut;mycotoxin > aflatoxin, peanuts and products thereof, nuts > hazelnut;turkey;15-7-2025
alert;abnormal smell, taste disturbance;abnormal smell, taste disturbance;denmark;12-7-2025
alert;sesame seeds and products thereof;sesame seeds and products thereof;germany;10-7-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;united states;30-6-2025
alert;milk and products thereof;milk and products thereof;poland;26-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
alert;pecan nut;nuts > pecan nut;united states;25-6-2025
border rejection;improper conditions;poor or insufficient controls > improper conditions;jordan;23-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
alert;milk and products thereof;milk and products thereof;united states;20-6-2025
border rejection;e 202 - potassium sorbate unauthorised;e 202 - potassium sorbate unauthorised;turkmenistan;19-6-2025
border rejection;2,4-d;pesticides > 2,4-d;venezuela;17-6-2025
border rejection;improper import declaration;smuggling > improper import declaration;united states;17-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;france;13-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
alert;cereals containing gluten and products thereof;cereals containing gluten and products thereof;italy;11-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;11-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;italy;10-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;italy;10-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;italy;10-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;italy;10-6-2025
alert;salmonella;pathogen > pathogenic bacteria > salmonella;italy;10-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;6-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;6-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;côte d'ivoire;6-6-2025
alert;moulds;non-pathogenic microorganisms > moulds;belgium;4-6-2025
alert;moulds;non-pathogenic microorganisms > moulds;belgium;4-6-2025
alert;moulds;non-pathogenic microorganisms > moulds;belgium;4-6-2025
alert;sesame seeds and products thereof;sesame seeds and products thereof;united arab emirates;3-6-2025
alert;milk and products thereof;milk and products thereof;united states;3-6-2025
border rejection;improper import declaration;smuggling > improper import declaration;united states;2-6-2025
alert;moulds;non-pathogenic microorganisms > moulds;netherlands;28-5-2025
alert;moulds;non-pathogenic microorganisms > moulds;netherlands;28-5-2025
alert;moulds;non-pathogenic microorganisms > moulds;netherlands;28-5-2025
alert;aflatoxin;mycotoxin > aflatoxin;united arab emirates;23-5-2025
alert;cereals containing gluten and products thereof;cereals containing gluten and products thereof;united arab emirates;21-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
alert;aflatoxin;mycotoxin > aflatoxin;turkey;20-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
border rejection;inadequate processing;processing > inadequate processing;italy;20-5-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;lebanon;12-5-2025
alert;plastic fragment;plastic fragment;japan;12-5-2025
border rejection;inadequate processing;processing > inadequate processing;egypt;12-5-2025
border rejection;inadequate processing;processing > inadequate processing;south korea;8-5-2025
border rejection;cadmium;heavy metals > cadmium;colombia;30-4-2025
border rejection;cadmium;heavy metals > cadmium;colombia;30-4-2025
alert;unauthorised substance tetrahydrocannabinol (thc), unauthorised novel food ingredient cannabidiol (cbd);composition > unauthorised substance tetrahydrocannabinol (thc), novel food > unauthorised novel food ingredient cannabidiol (cbd);slovenia;29-4-2025
alert;almond, cashew;nuts > almond, nuts > cashew;united states;26-4-2025
alert;almond, cashew;nuts > almond, nuts > cashew;united states;26-4-2025
alert;almond, cashew;nuts > almond, nuts > cashew;united states;26-4-2025
alert;almond, cashew;nuts > almond, nuts > cashew;united states;26-4-2025
alert;milk and products thereof, nuts;milk and products thereof, nuts;belgium;25-4-2025
border rejection;2,4-d;pesticides > 2,4-d;côte d'ivoire;24-4-2025
