Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;18-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;nigeria;18-7-2025
border rejection;inspection certificate  issues;smuggling > inspection issues > inspection certificate  issues;sudan;18-7-2025
border rejection;salmonella agona;pathogen > pathogenic bacteria > salmonella > salmonella agona;india;17-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;nigeria;16-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;nigeria;15-7-2025
border rejection;high content of lead;heavy metals > high content of lead;peru;15-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;nigeria;15-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;10-7-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;nigeria;3-7-2025
border rejection;inadequate processing;processing > inadequate processing;jordan;30-6-2025
border rejection;inadequate processing;processing > inadequate processing;jordan;30-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;26-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;26-6-2025
border rejection;composition;composition;indonesia;26-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;24-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;24-6-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;india;24-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;24-6-2025
border rejection;salmonella;pathogen > pathogenic bacteria > salmonella;turkey;23-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;23-6-2025
border rejection;inspection certificate  issues;smuggling > inspection issues > inspection certificate  issues;sudan;20-6-2025
border rejection;inspection certificate  issues;smuggling > inspection issues > inspection certificate  issues;sudan;16-6-2025
border rejection;inspection certificate  issues;smuggling > inspection issues > inspection certificate  issues;sudan;16-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;13-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;13-6-2025
border rejection;absence of health certificate(s);smuggling > health certificate issues > absence of health certificate(s);sudan;13-6-2025
border rejection;imidacloprid;pesticides > neonicotinoid > imidacloprid;tanzania;9-6-2025
