Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;denmark;17-7-2025
border rejection;doxycycline unauthorised;residues of veterinary medicinal products > doxycycline unauthorised;vietnam;15-7-2025
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;canada;12-7-2025
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;vietnam;8-7-2025
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;ecuador;8-7-2025
border rejection;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;ecuador;8-7-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;8-7-2025
alert;incorrect product type label, sesame seeds and products thereof, soybeans and products thereof, crustaceans and products thereof;labelling/misdescription > misbranding > other misbranding issues > incorrect product type label, sesame seeds and products thereof, soybeans and products thereof, crustaceans and products thereof;netherlands;2-7-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;thailand;1-7-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;indonesia;30-6-2025
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;india;27-6-2025
border rejection;chemical;;argentina;26-6-2025
border rejection;residue level above mrl for amoxicillin;residues of veterinary medicinal products > residue level above mrl for amoxicillin;vietnam;26-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;25-6-2025
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;united states;24-6-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;24-6-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;23-6-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;18-6-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;13-6-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;indonesia;12-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;mercury;heavy metals > mercury;spain;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;united states;10-6-2025
alert;unauthorised placing on the market;smuggling > unauthorised placing on the market;philippines;9-6-2025
border rejection;escherichia coli;pathogen > pathogenic bacteria > escherichia coli;indonesia;9-6-2025
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;ecuador;9-6-2025
border rejection;coliforms;non-pathogenic microorganisms > coliforms;indonesia;9-6-2025
alert;eggs and products thereof, soybeans and products thereof, milk and products thereof;eggs and products thereof, soybeans and products thereof, milk and products thereof;canada;4-6-2025
alert;eggs and products thereof, milk and products thereof;eggs and products thereof, milk and products thereof;canada;4-6-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;29-5-2025
alert;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);canada;29-5-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;29-5-2025
border rejection;poor hygienic state, salmonella;poor or insufficient controls > poor hygienic state, pathogen > pathogenic bacteria > salmonella;india;29-5-2025
border rejection;vibrio parahaemolyticus;pathogen > pathogenic bacteria > vibrio spp > vibrio parahaemolyticus;ecuador;27-5-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;16-5-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;15-5-2025
alert;undeclared sulphite;sulphur dioxide and sulphites > undeclared sulphite;canada;14-5-2025
alert;listeria monocytogenes;pathogen > pathogenic bacteria > listeria monocytogenes;france;14-5-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;14-5-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;14-5-2025
border rejection;nitrofuran;residues of veterinary medicinal products > antibiotics, vet drugs > nitrofuran;vietnam;8-5-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);india;7-5-2025
border rejection;sulphur dioxide and sulphites;sulphur dioxide and sulphites;greenland;7-5-2025
border rejection;prohibited substance nitrofuran (metabolite) furazolidone (aoz);residues of veterinary medicinal products > prohibited substance nitrofuran (metabolite) furazolidone (aoz);vietnam;2-5-2025
border rejection;doxycycline;residues of veterinary medicinal products > antibiotics, vet drugs > doxycycline;vietnam;28-4-2025
border rejection;unclassified bacteria;other not classified biological hazards > unclassified bacteria;vietnam;28-4-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;24-4-2025
border rejection;undeclared sulphite, insufficient labelling/documentation;sulphur dioxide and sulphites > undeclared sulphite, labelling/misdescription > insufficient labelling/documentation;indonesia;24-4-2025
alert;crustaceans and products thereof, undeclared sulphite;crustaceans and products thereof, sulphur dioxide and sulphites > undeclared sulphite;netherlands;22-4-2025
