Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;bupirimate;pesticides > bupirimate;china;15-7-2025
border rejection;bupirimate;pesticides > bupirimate;china;8-7-2025
border rejection;e 955 sucralose;e 955 sucralose;china;8-7-2025
border rejection;bifenazate;pesticides > bifenazate;egypt;4-7-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;morocco;25-6-2025
alert;tolfenpyrad;pesticides > pyrazole > tolfenpyrad;china;23-6-2025
border rejection;pesticides;pesticides;morocco;23-6-2025
alert;pesticides;pesticides;france;20-6-2025
border rejection;chlorpyrifos;pesticides > organophosphate > chlorpyrifos;chile;18-6-2025
alert;formetanate;pesticides > formamidine > formetanate;serbia;2-6-2025
alert;etoxazole;pesticides > etoxazole;spain;22-5-2025
border rejection;pesticides;pesticides;china;12-5-2025
alert;oxamyl;pesticides > carbamate > oxamyl;egypt;8-5-2025
border rejection;pesticides;pesticides;peru;7-5-2025
border rejection;tebuconazole;pesticides > triazole > tebuconazole;mexico;21-4-2025
border rejection;penconazole;pesticides > penconazole;chile;9-4-2025
border rejection;fenticonazole;pesticides > fenticonazole;chile;9-4-2025
border rejection;chlorpyrifos, penconazole;pesticides > organophosphate > chlorpyrifos, pesticides > penconazole;chile;9-4-2025
border rejection;spirodiclofen;pesticides > spirodiclofen;chile;4-4-2025
border rejection;pesticides, acrinathrin;pesticides, pesticides > pyrethroid > acrinathrin;japan;31-3-2025
border rejection;acephate;pesticides > organophosphate > acephate;china;25-3-2025
border rejection;pesticides;pesticides;mexico;20-3-2025
border rejection;spirodiclofen, penconazole;pesticides > spirodiclofen, pesticides > penconazole;chile;17-3-2025
border rejection;oxamyl, propamocarb;pesticides > carbamate > oxamyl, pesticides > propamocarb;egypt;26-2-2025
border rejection;propargite;pesticides > sulphite ester > propargite;mexico;21-2-2025
border rejection;bupirimate;pesticides > bupirimate;china;20-2-2025
border rejection;mepanipyrim;pesticides > mepanipyrim;japan;14-2-2025
border rejection;sulphur dioxide;adulteration (ema) > addition > enhancers/neutralizers > sulphur dioxide;china;10-2-2025
border rejection;penconazole;pesticides > penconazole;chile;10-2-2025
border rejection;cypermethrin;pesticides > pyrethroid > cypermethrin;japan;10-2-2025
border rejection;fosthiazate;pesticides > organophosphate > fosthiazate;japan;10-2-2025
border rejection;lufenuron, procymidone, bupirimate;pesticides > benzoylurea > lufenuron, pesticides > dicarboximide > procymidone, pesticides > bupirimate;china;13-1-2025
